====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
1849. Julián Álvarez #2                   | CB  | 2006 | SPD:81 DRB:67 SHO:68 DEF:88 PHY:87 IQ:87 | Chelsea
1850. Giorgios Karagounis #2              | CM  | 2006 | SPD:92 DRB:82 SHO:66 DEF:72 PHY:83 IQ:95 | Paris SG
1851. Juan Fernando Quintero #2           | ST  | 2006 | SPD:90 DRB:86 SHO:88 DEF:35 PHY:84 IQ:96 | Juventus
1852. Antoine Griezmann #2                | RB  | 2018 | SPD:84 DRB:64 SHO:63 DEF:97 PHY:96 IQ:97 | Chelsea
1853. Abedi Pelé #2                       | CB  | 2006 | SPD:81 DRB:80 SHO:54 DEF:88 PHY:94 IQ:82 | Paris SG
1854. Lilian Thuram #2                    | LB  | 2018 | SPD:76 DRB:63 SHO:50 DEF:96 PHY:96 IQ:83 | Barcelona
1855. Andy Robertson #2                   | LW  | 2014 | SPD:93 DRB:91 SHO:89 DEF:49 PHY:75 IQ:81 | Barcelona
1856. Ruben Riquelme #2                   | CM  | 2010 | SPD:88 DRB:87 SHO:77 DEF:73 PHY:75 IQ:89 | Liverpool
1857. Salif Keita #2                      | CDM | 2022 | SPD:87 DRB:85 SHO:79 DEF:68 PHY:80 IQ:84 | Manchester United
1858. Xherdan Shaqiri #2                  | CDM | 2010 | SPD:86 DRB:78 SHO:77 DEF:81 PHY:95 IQ:84 | Barcelona
1859. Juan Pablo Sorin #2                 | LB  | 2010 | SPD:82 DRB:75 SHO:53 DEF:91 PHY:95 IQ:85 | Barcelona
1860. Patrice Evra #2                     | CM  | 2022 | SPD:89 DRB:87 SHO:80 DEF:72 PHY:86 IQ:81 | Bayern Munich
1861. Savo Milosevic #2                   | LW  | 2014 | SPD:91 DRB:83 SHO:91 DEF:43 PHY:87 IQ:86 | Paris SG
1862. Pantelis Kafes #2                   | CB  | 2010 | SPD:86 DRB:79 SHO:50 DEF:89 PHY:94 IQ:93 | Juventus
1863. Gonçalo Inácio #2                   | GK  | 2014 | SPD:70 DRB:54 SHO:36 DEF:96 PHY:97 IQ:91 | Napoli
1864. Mikael Silvestre #2                 | CDM | 2010 | SPD:82 DRB:90 SHO:81 DEF:71 PHY:82 IQ:98 | AC Milan
1865. Ben Chilwell #2                     | CM  | 2006 | SPD:94 DRB:90 SHO:73 DEF:84 PHY:90 IQ:88 | Inter Milan
1866. Sergio Busquets #2                  | CDM | 2010 | SPD:87 DRB:92 SHO:70 DEF:74 PHY:97 IQ:82 | Napoli
1867. Vieira Patrick #2                   | LW  | 2014 | SPD:89 DRB:91 SHO:90 DEF:33 PHY:76 IQ:94 | Barcelona
1868. González Higuaín #2                 | CB  | 2014 | SPD:90 DRB:70 SHO:68 DEF:96 PHY:93 IQ:79 | Liverpool
1869. Lisandro Martinez #2                | LW  | 2022 | SPD:87 DRB:85 SHO:90 DEF:45 PHY:81 IQ:81 | Paris SG
1870. Alex Valdivia #2                    | ST  | 2022 | SPD:94 DRB:90 SHO:84 DEF:33 PHY:94 IQ:98 | Napoli
1871. Jan Krejčí #2                       | CDM | 2010 | SPD:94 DRB:82 SHO:75 DEF:74 PHY:93 IQ:97 | Bayern Munich
1872. John Toshack #2                     | RB  | 2014 | SPD:90 DRB:70 SHO:53 DEF:85 PHY:98 IQ:84 | AC Milan
1873. Éric Abidal #2                      | LW  | 2014 | SPD:84 DRB:85 SHO:85 DEF:35 PHY:91 IQ:78 | Chelsea
1874. Ernst Happel #2                     | ST  | 2014 | SPD:89 DRB:86 SHO:98 DEF:35 PHY:95 IQ:94 | Arsenal
1875. Sami Khedira #2                     | LB  | 2014 | SPD:80 DRB:76 SHO:49 DEF:92 PHY:90 IQ:79 | Napoli
1876. Bentaleb Nacho #2                   | ST  | 2014 | SPD:85 DRB:88 SHO:91 DEF:30 PHY:77 IQ:96 | Liverpool
1877. Frank de Boer #2                    | RB  | 2022 | SPD:80 DRB:64 SHO:48 DEF:98 PHY:83 IQ:90 | Chelsea
1878. Álvaro Recoba #2                    | CDM | 2014 | SPD:93 DRB:70 SHO:65 DEF:83 PHY:86 IQ:94 | Manchester United
1879. Müller Thomas #2                    | CDM | 2006 | SPD:94 DRB:75 SHO:83 DEF:64 PHY:78 IQ:91 | Liverpool
1880. Jorge Carrascal #2                  | CDM | 2010 | SPD:81 DRB:83 SHO:77 DEF:70 PHY:76 IQ:94 | Inter Milan
1881. Jorginho #2                         | CM  | 2010 | SPD:92 DRB:82 SHO:78 DEF:80 PHY:92 IQ:83 | AC Milan
1882. Gomez Ricardo #2                    | ST  | 2022 | SPD:93 DRB:81 SHO:86 DEF:48 PHY:94 IQ:87 | Paris SG
1883. Javi Martínez #2                    | LW  | 2022 | SPD:94 DRB:79 SHO:94 DEF:40 PHY:97 IQ:78 | Paris SG
1884. Rodrigo Moreno #2                   | LW  | 2006 | SPD:91 DRB:95 SHO:84 DEF:46 PHY:77 IQ:88 | Bayern Munich
1885. Ruud Gullit #2                      | LW  | 2014 | SPD:89 DRB:80 SHO:93 DEF:44 PHY:76 IQ:93 | Bayern Munich
1886. Jesús Navas #2                      | LB  | 2018 | SPD:75 DRB:73 SHO:53 DEF:95 PHY:85 IQ:81 | Real Madrid
1887. Paul Breitner #2                    | GK  | 2018 | SPD:70 DRB:31 SHO:37 DEF:97 PHY:96 IQ:88 | Inter Milan
1888. Robert Lewandowski #2               | LB  | 2006 | SPD:90 DRB:66 SHO:50 DEF:96 PHY:89 IQ:96 | Barcelona
1889. Jamal Musiala #2                    | CDM | 2022 | SPD:90 DRB:90 SHO:75 DEF:60 PHY:82 IQ:98 | Arsenal
1890. Vassilis Torosidis #2               | CB  | 2010 | SPD:78 DRB:60 SHO:70 DEF:86 PHY:87 IQ:93 | Inter Milan
1891. Mbappé Kylian #2                    | LB  | 2014 | SPD:82 DRB:77 SHO:62 DEF:94 PHY:86 IQ:94 | Chelsea
1892. Cesc Fàbregas #2                    | RB  | 2018 | SPD:78 DRB:68 SHO:45 DEF:93 PHY:85 IQ:83 | Inter Milan
1893. Nemanja Matić #2                    | CDM | 2022 | SPD:87 DRB:75 SHO:74 DEF:65 PHY:77 IQ:79 | Inter Milan
1894. Thibault Courtois #2                | GK  | 2006 | SPD:73 DRB:34 SHO:23 DEF:93 PHY:93 IQ:97 | Liverpool
1895. Pauleta #2                          | CDM | 2014 | SPD:91 DRB:88 SHO:84 DEF:71 PHY:97 IQ:78 | Inter Milan
1896. Hernán Crespo #2                    | LW  | 2006 | SPD:95 DRB:84 SHO:85 DEF:42 PHY:91 IQ:81 | Barcelona
1897. Carlos Puyol #2                     | CDM | 2006 | SPD:85 DRB:79 SHO:73 DEF:69 PHY:91 IQ:88 | Liverpool
1898. Kazuyoshi Miura #2                  | ST  | 2014 | SPD:82 DRB:95 SHO:91 DEF:44 PHY:76 IQ:82 | Liverpool
1899. Yacine Brahimi #2                   | CDM | 2022 | SPD:88 DRB:91 SHO:73 DEF:73 PHY:96 IQ:98 | Paris SG
1900. Dwight Yorke #2                     | GK  | 2018 | SPD:72 DRB:53 SHO:20 DEF:97 PHY:85 IQ:98 | Liverpool
1901. DaMarcus Beasley #2                 | LW  | 2022 | SPD:90 DRB:92 SHO:96 DEF:54 PHY:81 IQ:91 | Inter Milan
1902. Mark González #2                    | CM  | 2018 | SPD:89 DRB:77 SHO:81 DEF:66 PHY:86 IQ:96 | AC Milan
1903. Boban Marjanovic #2                 | LW  | 2022 | SPD:92 DRB:87 SHO:91 DEF:44 PHY:94 IQ:81 | Chelsea
1904. Javier Ramales #2                   | ST  | 2018 | SPD:94 DRB:88 SHO:89 DEF:39 PHY:96 IQ:98 | Paris SG
1905. Sérgio Ramos #2                     | CM  | 2010 | SPD:86 DRB:71 SHO:78 DEF:70 PHY:97 IQ:80 | Manchester United
1906. Mohamed Salah #2                    | LW  | 2010 | SPD:85 DRB:77 SHO:93 DEF:37 PHY:87 IQ:95 | Real Madrid
1907. Quinton Fortune #2                  | LB  | 2014 | SPD:88 DRB:71 SHO:65 DEF:97 PHY:76 IQ:96 | Napoli
1908. Claude Makele #2                    | ST  | 2010 | SPD:87 DRB:79 SHO:91 DEF:25 PHY:83 IQ:79 | Barcelona
1909. Cicinho #2                          | CAM | 2006 | SPD:83 DRB:84 SHO:86 DEF:83 PHY:91 IQ:84 | Real Madrid
1910. Yoann Gourcuff #2                   | CAM | 2014 | SPD:94 DRB:73 SHO:66 DEF:73 PHY:75 IQ:97 | Bayern Munich
1911. Michel Platini #2                   | CAM | 2006 | SPD:90 DRB:71 SHO:75 DEF:78 PHY:87 IQ:98 | Napoli
1912. Kevin De Bruyne #2                  | ST  | 2018 | SPD:87 DRB:89 SHO:91 DEF:39 PHY:85 IQ:89 | Inter Milan
1913. Juan Pablo Sorín #2                 | CDM | 2014 | SPD:84 DRB:80 SHO:88 DEF:60 PHY:81 IQ:83 | Paris SG
1914. Emanuel Mammana #2                  | CM  | 2010 | SPD:78 DRB:79 SHO:81 DEF:81 PHY:75 IQ:92 | Bayern Munich
1915. Mario Mandžukić #2                  | CB  | 2010 | SPD:76 DRB:64 SHO:57 DEF:96 PHY:85 IQ:85 | Barcelona
1916. Diogo Jota #2                       | ST  | 2014 | SPD:96 DRB:83 SHO:94 DEF:47 PHY:85 IQ:83 | Manchester United
1917. Bojan Djordjic #2                   | CM  | 2022 | SPD:94 DRB:81 SHO:86 DEF:83 PHY:76 IQ:93 | Arsenal
1918. Gerd Müller #2                      | ST  | 2014 | SPD:94 DRB:77 SHO:84 DEF:30 PHY:92 IQ:95 | Manchester United
1919. Rúben Neves #2                      | CB  | 2010 | SPD:81 DRB:80 SHO:67 DEF:93 PHY:78 IQ:87 | Liverpool
1920. Gavi #2                             | LW  | 2014 | SPD:87 DRB:93 SHO:90 DEF:44 PHY:89 IQ:83 | Chelsea
1921. Johan Neeskens #2                   | ST  | 2014 | SPD:82 DRB:83 SHO:82 DEF:36 PHY:93 IQ:80 | Juventus
1922. Luis Nani #2                        | CAM | 2010 | SPD:82 DRB:81 SHO:85 DEF:83 PHY:87 IQ:90 | Liverpool
1923. Ezequiel Lavezzi #2                 | RB  | 2010 | SPD:90 DRB:79 SHO:58 DEF:92 PHY:87 IQ:85 | Bayern Munich
1924. Javier Pastore #2                   | CDM | 2006 | SPD:79 DRB:80 SHO:75 DEF:73 PHY:93 IQ:92 | AC Milan
1925. Raí #2                              | CAM | 2014 | SPD:85 DRB:87 SHO:78 DEF:76 PHY:81 IQ:96 | Liverpool
1926. Nigel de Jong #2                    | ST  | 2010 | SPD:92 DRB:87 SHO:92 DEF:40 PHY:90 IQ:88 | Napoli
1927. Bobby Moore #2                      | CM  | 2006 | SPD:88 DRB:85 SHO:68 DEF:68 PHY:82 IQ:91 | Juventus
1928. Peter Čech #2                       | CM  | 2014 | SPD:88 DRB:84 SHO:73 DEF:81 PHY:75 IQ:97 | Barcelona
1929. Stanley Matthews #2                 | CDM | 2006 | SPD:83 DRB:88 SHO:83 DEF:63 PHY:93 IQ:89 | AC Milan
1930. Juan Roman Riquelme #2              | LB  | 2006 | SPD:77 DRB:71 SHO:55 DEF:88 PHY:77 IQ:78 | AC Milan
1931. Kenny Dalglish #2                   | GK  | 2006 | SPD:72 DRB:40 SHO:29 DEF:95 PHY:80 IQ:82 | Barcelona
1932. Samuel Eto'o #2                     | LB  | 2022 | SPD:85 DRB:75 SHO:62 DEF:89 PHY:93 IQ:95 | Chelsea
1933. Diego Milito #2                     | ST  | 2010 | SPD:89 DRB:86 SHO:95 DEF:33 PHY:75 IQ:79 | Real Madrid
1934. Giorgos Samaras #2                  | RB  | 2010 | SPD:78 DRB:67 SHO:56 DEF:92 PHY:97 IQ:81 | AC Milan
1935. Cristian Benavente #2               | ST  | 2006 | SPD:90 DRB:90 SHO:96 DEF:54 PHY:77 IQ:97 | AC Milan
1936. Darko Kovacevic #2                  | ST  | 2018 | SPD:88 DRB:92 SHO:98 DEF:41 PHY:83 IQ:92 | AC Milan
1937. Héctor Enrique #2                   | GK  | 2006 | SPD:72 DRB:30 SHO:40 DEF:94 PHY:96 IQ:83 | Real Madrid
1938. Alberto Gilardino #2                | CAM | 2010 | SPD:82 DRB:81 SHO:77 DEF:68 PHY:94 IQ:84 | Inter Milan
1939. Pelé Abedi #2                       | CDM | 2006 | SPD:84 DRB:73 SHO:70 DEF:78 PHY:89 IQ:79 | Real Madrid
1940. Ashley Cole #2                      | GK  | 2006 | SPD:70 DRB:37 SHO:41 DEF:98 PHY:76 IQ:84 | Arsenal
1941. Mickaël Silvestre #2                | CM  | 2018 | SPD:93 DRB:84 SHO:72 DEF:73 PHY:79 IQ:83 | Liverpool
1942. Andres Iniesta #3                   | CM  | 2010 | SPD:91 DRB:92 SHO:78 DEF:63 PHY:97 IQ:91 | Napoli
1943. Milla Roger #3                      | ST  | 2014 | SPD:87 DRB:83 SHO:82 DEF:47 PHY:97 IQ:95 | Napoli
1944. Maradona Diego #3                   | LW  | 2018 | SPD:92 DRB:85 SHO:90 DEF:42 PHY:80 IQ:86 | Inter Milan
1945. Maarten Stekelenburg #3             | LW  | 2014 | SPD:85 DRB:95 SHO:96 DEF:50 PHY:95 IQ:78 | Bayern Munich
1946. Eder Militao #3                     | LB  | 2010 | SPD:78 DRB:74 SHO:59 DEF:91 PHY:95 IQ:92 | Chelsea
1947. Ryan Giggs #3                       | CDM | 2006 | SPD:81 DRB:75 SHO:79 DEF:72 PHY:97 IQ:80 | Real Madrid
1948. Raphaël Varane #3                   | CB  | 2014 | SPD:81 DRB:65 SHO:69 DEF:90 PHY:87 IQ:80 | Barcelona
1949. Bobby Charlton #3                   | ST  | 2010 | SPD:89 DRB:88 SHO:93 DEF:25 PHY:93 IQ:89 | Real Madrid
1950. Edwin van der Sar #3                | CM  | 2022 | SPD:79 DRB:73 SHO:72 DEF:78 PHY:88 IQ:97 | AC Milan
1951. Dimitri Payet #3                    | LW  | 2018 | SPD:85 DRB:78 SHO:96 DEF:47 PHY:91 IQ:98 | Juventus
1952. Kylian Mbappé #3                    | CB  | 2014 | SPD:80 DRB:60 SHO:58 DEF:90 PHY:95 IQ:93 | Arsenal
1953. Javi Martinez #3                    | CM  | 2018 | SPD:85 DRB:73 SHO:81 DEF:68 PHY:98 IQ:84 | Barcelona
1954. Bruno Guimaraes #3                  | LW  | 2014 | SPD:96 DRB:84 SHO:83 DEF:30 PHY:84 IQ:90 | Liverpool
1955. Abdessalem Ayouni #3                | RB  | 2010 | SPD:81 DRB:61 SHO:69 DEF:95 PHY:90 IQ:87 | Bayern Munich
1956. Jimmy Greaves #3                    | ST  | 2010 | SPD:95 DRB:75 SHO:86 DEF:54 PHY:85 IQ:95 | Bayern Munich
1957. Antony #3                           | CM  | 2022 | SPD:82 DRB:90 SHO:82 DEF:83 PHY:81 IQ:78 | AC Milan
1958. Ilkay Gündogan #3                   | LW  | 2014 | SPD:82 DRB:83 SHO:90 DEF:51 PHY:77 IQ:88 | Inter Milan
1959. Didier Drogba #3                    | RB  | 2010 | SPD:88 DRB:73 SHO:45 DEF:85 PHY:92 IQ:95 | Real Madrid
1960. Cesc Fabregas #3                    | CM  | 2010 | SPD:87 DRB:91 SHO:82 DEF:70 PHY:88 IQ:98 | Manchester United
1961. Branislav Ivanovic #3               | RB  | 2006 | SPD:84 DRB:66 SHO:52 DEF:89 PHY:93 IQ:92 | Napoli
1962. Miguel Borja #3                     | LW  | 2006 | SPD:85 DRB:79 SHO:85 DEF:37 PHY:81 IQ:97 | Manchester United
1963. Teddy Sheringham #3                 | CDM | 2022 | SPD:87 DRB:81 SHO:82 DEF:66 PHY:93 IQ:84 | Real Madrid
1964. Alejandro Garnacho #3               | CAM | 2014 | SPD:90 DRB:83 SHO:87 DEF:75 PHY:80 IQ:87 | Barcelona
1965. Éver Banega #3                      | LB  | 2006 | SPD:86 DRB:67 SHO:54 DEF:85 PHY:96 IQ:92 | Napoli
1966. Richarlison #3                      | ST  | 2010 | SPD:82 DRB:91 SHO:85 DEF:40 PHY:90 IQ:83 | Inter Milan
1967. Lukas Podolski #3                   | RB  | 2006 | SPD:87 DRB:64 SHO:59 DEF:85 PHY:87 IQ:79 | Real Madrid
1968. Enzo Fernández #3                   | CM  | 2022 | SPD:84 DRB:80 SHO:77 DEF:78 PHY:82 IQ:98 | Inter Milan
1969. Mladen Krstajic #3                  | LW  | 2018 | SPD:86 DRB:83 SHO:95 DEF:39 PHY:97 IQ:86 | Manchester United
1970. Jonathan Calleri #3                 | CAM | 2014 | SPD:89 DRB:74 SHO:78 DEF:61 PHY:91 IQ:98 | Inter Milan
1971. Nicolas De La Cruz #3               | CM  | 2010 | SPD:83 DRB:72 SHO:67 DEF:67 PHY:77 IQ:92 | Liverpool
1972. Jemerson #3                         | LW  | 2010 | SPD:83 DRB:87 SHO:84 DEF:56 PHY:77 IQ:84 | Juventus
1973. Arjen Robben #3                     | CDM | 2018 | SPD:78 DRB:73 SHO:86 DEF:84 PHY:98 IQ:91 | Napoli
1974. Thierry Henry #3                    | CDM | 2010 | SPD:89 DRB:89 SHO:76 DEF:68 PHY:88 IQ:86 | Paris SG
1975. Per Mertesacker #3                  | ST  | 2006 | SPD:92 DRB:90 SHO:87 DEF:52 PHY:93 IQ:91 | AC Milan
1976. Wayne Rooney #3                     | CDM | 2006 | SPD:92 DRB:91 SHO:68 DEF:75 PHY:87 IQ:85 | Chelsea
1977. Frank Leboeuf #3                    | LW  | 2022 | SPD:94 DRB:94 SHO:94 DEF:29 PHY:97 IQ:82 | Manchester United
1978. Tim Cahill #3                       | LW  | 2022 | SPD:94 DRB:81 SHO:86 DEF:44 PHY:77 IQ:83 | Napoli
1979. Aleksandar Mitrović #3              | CDM | 2018 | SPD:78 DRB:86 SHO:65 DEF:80 PHY:98 IQ:84 | Chelsea
1980. Gonzalo Higuain #3                  | CDM | 2010 | SPD:94 DRB:78 SHO:79 DEF:77 PHY:81 IQ:87 | Manchester United
1981. Luka Modric #3                      | CB  | 2006 | SPD:79 DRB:63 SHO:64 DEF:94 PHY:80 IQ:84 | Arsenal
1982. Villasanti Diego #3                 | CDM | 2006 | SPD:79 DRB:70 SHO:86 DEF:78 PHY:84 IQ:92 | AC Milan
1983. Valentin Azmayev #3                 | LW  | 2018 | SPD:85 DRB:94 SHO:97 DEF:49 PHY:97 IQ:83 | Chelsea
1984. Néstor Clausen #3                   | ST  | 2018 | SPD:86 DRB:94 SHO:97 DEF:47 PHY:93 IQ:96 | Juventus
1985. Cristiano Ronaldo #3                | ST  | 2018 | SPD:84 DRB:79 SHO:95 DEF:27 PHY:91 IQ:96 | Barcelona
1986. Bacary Sagna #3                     | CM  | 2014 | SPD:80 DRB:87 SHO:80 DEF:75 PHY:95 IQ:91 | Napoli
1987. Sagna #3                            | CAM | 2018 | SPD:93 DRB:85 SHO:75 DEF:84 PHY:88 IQ:87 | Paris SG
1988. Olivier Kapo #3                     | RB  | 2014 | SPD:85 DRB:74 SHO:59 DEF:99 PHY:86 IQ:80 | AC Milan
1989. Steve McManaman #3                  | CAM | 2018 | SPD:83 DRB:80 SHO:73 DEF:75 PHY:82 IQ:91 | Napoli
1990. Simão Sabrosa #3                    | LB  | 2022 | SPD:75 DRB:67 SHO:67 DEF:92 PHY:98 IQ:80 | Napoli
1991. Franck Ribery #3                    | ST  | 2006 | SPD:96 DRB:85 SHO:97 DEF:46 PHY:86 IQ:83 | Manchester United
1992. Hans-Jürgen Cramer #3               | CM  | 2006 | SPD:78 DRB:74 SHO:75 DEF:68 PHY:91 IQ:78 | Liverpool
1993. Raúl Meireles #3                    | ST  | 2018 | SPD:88 DRB:79 SHO:93 DEF:59 PHY:88 IQ:90 | Bayern Munich
1994. Papiss Cissé #3                     | CB  | 2022 | SPD:79 DRB:67 SHO:56 DEF:99 PHY:83 IQ:91 | Juventus
1995. Frédéric Kanoute #3                 | CAM | 2006 | SPD:88 DRB:70 SHO:83 DEF:81 PHY:89 IQ:82 | Paris SG
1996. Sergio Romero #3                    | ST  | 2022 | SPD:96 DRB:83 SHO:90 DEF:30 PHY:91 IQ:80 | Bayern Munich
1997. Luis Suárez #3                      | LW  | 2010 | SPD:87 DRB:84 SHO:82 DEF:46 PHY:93 IQ:82 | Liverpool
1998. Juan Manuel Ibarbo #3               | ST  | 2010 | SPD:85 DRB:91 SHO:87 DEF:26 PHY:79 IQ:81 | Barcelona
1999. Mario Gómez #3                      | ST  | 2006 | SPD:91 DRB:85 SHO:82 DEF:52 PHY:97 IQ:98 | Paris SG
2000. Bruno Fernandes #3                  | LB  | 2010 | SPD:79 DRB:64 SHO:54 DEF:90 PHY:93 IQ:91 | Paris SG
2001. Matías Fernández #3                 | LB  | 2010 | SPD:80 DRB:71 SHO:67 DEF:96 PHY:88 IQ:97 | Chelsea
2002. Elías Figueroa #3                   | LW  | 2018 | SPD:92 DRB:82 SHO:88 DEF:36 PHY:86 IQ:81 | Paris SG
2003. David Alaba #3                      | CAM | 2006 | SPD:87 DRB:87 SHO:85 DEF:66 PHY:94 IQ:89 | Manchester United
2004. Stefan Mitrović #3                  | CAM | 2006 | SPD:94 DRB:86 SHO:88 DEF:72 PHY:93 IQ:88 | Paris SG
2005. Roberto Firmino #3                  | ST  | 2014 | SPD:88 DRB:93 SHO:83 DEF:53 PHY:81 IQ:84 | Manchester United
2006. Bruno Alves #3                      | CB  | 2014 | SPD:88 DRB:76 SHO:57 DEF:91 PHY:90 IQ:92 | Manchester United
2007. Lucas Paqueta #3                    | ST  | 2014 | SPD:87 DRB:82 SHO:92 DEF:54 PHY:77 IQ:92 | Paris SG
2008. Abelardo Fernandez #3               | CM  | 2006 | SPD:90 DRB:84 SHO:69 DEF:73 PHY:93 IQ:98 | Napoli
2009. Lopes Anthony #3                    | RB  | 2010 | SPD:76 DRB:73 SHO:57 DEF:99 PHY:77 IQ:90 | Napoli
2010. Mateja Kezman #3                    | ST  | 2018 | SPD:92 DRB:89 SHO:91 DEF:42 PHY:98 IQ:79 | Inter Milan
2011. Frederic Kanouté #3                 | CDM | 2006 | SPD:79 DRB:81 SHO:85 DEF:72 PHY:78 IQ:96 | Liverpool
2012. Luis Suarez #3                      | CB  | 2010 | SPD:88 DRB:76 SHO:57 DEF:99 PHY:85 IQ:79 | Real Madrid
2013. Robbie Fowler #3                    | CM  | 2006 | SPD:94 DRB:82 SHO:88 DEF:78 PHY:88 IQ:82 | Chelsea
2014. Andrey Arshavin #3                  | LB  | 2018 | SPD:76 DRB:63 SHO:67 DEF:93 PHY:84 IQ:92 | Inter Milan
2015. Gueule de Bois #3                   | LB  | 2006 | SPD:87 DRB:65 SHO:63 DEF:88 PHY:83 IQ:92 | Real Madrid
2016. Radamel Falcao #3                   | LW  | 2014 | SPD:94 DRB:88 SHO:94 DEF:50 PHY:93 IQ:91 | Juventus
2017. Thomas Müller #3                    | CM  | 2006 | SPD:82 DRB:83 SHO:82 DEF:64 PHY:83 IQ:88 | Paris SG
2018. Kolo Touré #3                       | CM  | 2014 | SPD:89 DRB:84 SHO:82 DEF:74 PHY:82 IQ:81 | AC Milan
2019. Alessandro Nesta #3                 | CDM | 2010 | SPD:91 DRB:86 SHO:73 DEF:66 PHY:85 IQ:92 | Napoli
2020. Ngolo Kante #3                      | CAM | 2018 | SPD:80 DRB:80 SHO:83 DEF:73 PHY:86 IQ:85 | Barcelona
2021. Joel Matip #3                       | RB  | 2014 | SPD:89 DRB:74 SHO:49 DEF:88 PHY:77 IQ:85 | Bayern Munich
2022. Thilo Kehrer #3                     | CB  | 2018 | SPD:77 DRB:66 SHO:65 DEF:94 PHY:83 IQ:81 | Paris SG
2023. Ricardo Quaresma #3                 | CAM | 2010 | SPD:87 DRB:83 SHO:70 DEF:69 PHY:86 IQ:98 | Manchester United
2024. Dirk Kuyt #3                        | CDM | 2022 | SPD:91 DRB:70 SHO:75 DEF:72 PHY:87 IQ:80 | Paris SG
2025. Sylvain Wiltord #3                  | LW  | 2014 | SPD:90 DRB:90 SHO:93 DEF:28 PHY:93 IQ:96 | AC Milan
2026. Carvajal #3                         | CM  | 2018 | SPD:88 DRB:74 SHO:80 DEF:65 PHY:81 IQ:79 | Manchester United
2027. Gonzalo Bergessio #3                | CB  | 2006 | SPD:80 DRB:61 SHO:59 DEF:97 PHY:89 IQ:98 | Inter Milan
2028. Gennaro Gattuso #3                  | CDM | 2014 | SPD:94 DRB:83 SHO:73 DEF:68 PHY:97 IQ:92 | Arsenal
2029. Carlos Tevez #3                     | CDM | 2010 | SPD:92 DRB:83 SHO:77 DEF:77 PHY:98 IQ:81 | AC Milan
2030. Henrique Neguinho #3                | LB  | 2010 | SPD:78 DRB:69 SHO:47 DEF:98 PHY:94 IQ:85 | Chelsea
2031. Aleksandr Smertin #3                | LW  | 2006 | SPD:96 DRB:80 SHO:86 DEF:32 PHY:91 IQ:86 | Juventus
2032. Hugo Lloris #3                      | ST  | 2010 | SPD:87 DRB:89 SHO:84 DEF:48 PHY:92 IQ:83 | Juventus
2033. Andrés D'Alessandro #3              | ST  | 2022 | SPD:84 DRB:79 SHO:97 DEF:43 PHY:82 IQ:89 | Manchester United
2034. Gary Neville #3                     | LW  | 2018 | SPD:96 DRB:88 SHO:86 DEF:60 PHY:83 IQ:93 | Inter Milan
2035. Angel Di Maria #3                   | LW  | 2018 | SPD:93 DRB:95 SHO:94 DEF:53 PHY:79 IQ:90 | Inter Milan
2036. Rodri #3                            | CB  | 2022 | SPD:79 DRB:71 SHO:65 DEF:94 PHY:87 IQ:82 | Inter Milan
2037. Ismaël Bangoura #3                  | RB  | 2018 | SPD:80 DRB:63 SHO:65 DEF:96 PHY:76 IQ:97 | Bayern Munich
2038. Steve Heighway #3                   | CAM | 2014 | SPD:85 DRB:81 SHO:71 DEF:63 PHY:97 IQ:95 | Barcelona
2039. Joshua Kimmich #3                   | LB  | 2022 | SPD:86 DRB:72 SHO:54 DEF:92 PHY:79 IQ:97 | Juventus
2040. Mathieu Valbuena #3                 | LW  | 2010 | SPD:90 DRB:93 SHO:95 DEF:30 PHY:83 IQ:86 | Manchester United
2041. Ángel Di María #3                   | ST  | 2010 | SPD:86 DRB:81 SHO:98 DEF:58 PHY:91 IQ:80 | Inter Milan
2042. Danilo #3                           | CAM | 2018 | SPD:92 DRB:76 SHO:87 DEF:62 PHY:83 IQ:90 | Juventus
2043. Therry Henry #3                     | CDM | 2018 | SPD:90 DRB:72 SHO:88 DEF:66 PHY:90 IQ:91 | Real Madrid
2044. Marco van Basten #3                 | CAM | 2006 | SPD:92 DRB:86 SHO:68 DEF:76 PHY:92 IQ:88 | Paris SG
2045. Demps #3                            | LW  | 2014 | SPD:93 DRB:88 SHO:85 DEF:35 PHY:89 IQ:83 | Real Madrid
2046. Agustin Fontana #3                  | CAM | 2018 | SPD:88 DRB:78 SHO:76 DEF:67 PHY:94 IQ:88 | Bayern Munich
2047. Mario Mandic #3                     | CAM | 2014 | SPD:87 DRB:75 SHO:65 DEF:68 PHY:95 IQ:94 | Inter Milan
